file,bootstrap_classes
app/views/admin/analytics/index.html.erb,align-items-center align-items-md-center badge bg-info bg-light bg-secondary bg-success bg-white bi bi-bar-chart-fill bi-geo-alt bi-geo-alt-fill bi-graph-up bi-hand-thumbs-down-fill bi-hand-thumbs-up-fill bi-lightbulb-fill bi-tag bi-tag-fill bi-trophy-fill card card-body card-header col-12 col-6 col-lg-3 col-lg-6 col-md-3 col-sm-6 d-flex fw-bold fw-medium fw-semibold g-4 justify-content-between mb-0 mb-1 mb-2 mb-3 mb-4 mb-5 me-1 me-2 mt-2 p-0 p-4 py-4 rounded-pill row shadow-sm table table-hover table-light table-responsive text-center text-dark text-muted text-primary text-success
app/views/admin/app_preview/index.html.erb,align-items-center bi bi-box-arrow-up-right bi-eye bi-house bi-lightbulb bi-plus-circle bi-search btn btn-group btn-outline-primary btn-outline-secondary btn-sm d-flex justify-content-between mb-0 mb-1 mb-2 mb-4 me-1 me-2 mt-3 text-muted text-primary
app/views/admin/broadcasts/_form.html.erb,mt-4
app/views/admin/broadcasts/edit.html.erb,bg-white mt-2 mt-3 mt-4 p-4 rounded-lg shadow
app/views/admin/broadcasts/index.html.erb,bg-transparent card card-body card-footer card-text card-title col-12 col-lg-6 col-xl-4 d-block d-flex fw-bold g-4 justify-content-between mb-2 mb-3 mb-4 py-4 row shadow-sm text-center text-muted
app/views/admin/broadcasts/new.html.erb,mb-3 mb-4 mt-4 py-4
app/views/admin/broadcasts/show.html.erb,card card-body card-text card-title mb-4 mt-4 py-4 text-muted
app/views/admin/community_ideas/index.html.erb,align-items-center align-items-start badge btn-group card col-md-3 d-flex justify-content-between mb-0 mb-1 mb-3 px-3 py-2 py-4 shadow-sm table table-hover table-light table-responsive table-striped text-center text-muted
app/views/admin/community_ideas/show.html.erb,align-items-center align-items-start badge bg-light bg-secondary bi bi-check-circle bi-x-circle card card-body col-xl-4 col-xl-8 d-flex g-4 justify-content-between mb-0 mb-1 mb-3 me-1 mt-1 mt-3 mt-4 py-4 row shadow-sm text-center text-dark text-muted
app/views/admin/dashboard/_quick_actions.html.erb,align-items-center bg-white bi bi-check-circle-fill bi-download bi-gear-fill bi-graph-up bi-lightning-charge-fill d-flex d-grid fw-bold mb-3 me-2 me-3 mt-4 p-4 rounded shadow-sm text-dark text-muted text-primary text-success
app/views/admin/dashboard/_recent_documents.html.erb,align-items-start bg-white d-flex fa-clock fa-file-alt fa-file-upload fas mb-1 mb-3 me-1 me-2 mt-2 mt-4 p-4 pb-3 py-4 rounded shadow-sm text-center text-muted text-success
